bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win,regime_viterbi,regime_smoothed_prob,regime_prob_BREAKOUT,regime_prob_PULLBACK,regime_prob_CHOPZONE,regime_prob_COMPRESSION
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,4,0,CHOPZONE,0.7598733417543249,1.1515973418833258e-08,0.24010974386987244,0.7598733417543249,1.6902859829261188e-05
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0,PULLBACK,0.849154155659099,5.511506982363756e-08,0.849154155659099,0.15084536818955122,4.210362799686026e-07
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0,PULLBACK,0.9999933932031682,1.1626520026894372e-06,0.9999933932031682,4.336514879978783e-06,1.1076299492323986e-06
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0,PULLBACK,0.9999964614155415,1.7692541309653196e-06,0.9999964614155415,6.635351945962711e-07,1.1057951328894593e-06
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0,PULLBACK,0.99999352641191,3.2375196400112867e-06,0.99999352641191,1.2136103214304075e-06,2.022458128476917e-06
203,S14_2,2,descending,converging,0.1352,5.94079,low,london,3030.76,3031.46,3029.31,LOSS,-0.5,1,0,PULLBACK,0.9999335882929279,5.808529499195858e-05,0.9999335882929279,4.1590681402660155e-06,4.167343939882998e-06
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0,BREAKOUT,0.9940196216913407,0.9940196216913407,0.0059803767624849935,7.723214425293338e-10,7.738528226048989e-10
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0,BREAKOUT,0.9993949677070769,0.9993949677070769,0.0006050320629207313,1.1488627151536834e-10,1.1511598961049174e-10
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0,BREAKOUT,0.9994240376745289,0.9994240376745289,0.0005759621025863734,1.1133109772023933e-10,1.1155370922970839e-10
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0,BREAKOUT,0.9994241946001367,0.9994241946001367,0.0005758051770170545,1.113118960063224e-10,1.1153448947569575e-10
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0,BREAKOUT,0.9994241426929,0.9994241426929,0.0005758570842407795,1.1131636511544851e-10,1.115427292678031e-10
219,S15_2,2,ascending,diverging,1.6429,6.38255,low,other,3068.72,3069.45,3062.34,LOSS,-0.5,1,0,BREAKOUT,0.9994143872872601,0.9994143872872601,0.0005856124874923646,1.1216197367082223e-10,1.1308561554739751e-10
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0,BREAKOUT,0.9976105085627331,0.9976105085627331,0.0023894914225745896,7.310931076884919e-12,7.381368763194372e-12
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0,BREAKOUT,0.9971532528068972,0.9971532528068972,0.00284674718101478,6.0008928310934756e-12,6.087290548781961e-12
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0,BREAKOUT,0.9957047993358378,0.9957047993358378,0.004295200656729807,3.672977825048002e-12,3.759466599234497e-12
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0,BREAKOUT,0.9928108413805099,0.9928108413805099,0.007189158614324147,2.5048495860598425e-12,2.661082923789665e-12
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0,BREAKOUT,0.9796275201322542,0.9796275201322542,0.020372479862057265,2.486508567268692e-12,3.20205761295909e-12
220,S16_2,2,ascending,converging,1.3999,7.30951,high,other,3083.27,3088.08,3082.67,LOSS,-0.5,2,0,BREAKOUT,0.8639055520427239,0.8639055520427239,0.13609444791746908,3.0064062233287696e-11,9.743005423872104e-12
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,5,0,PULLBACK,0.9990462632632738,4.5651085190550953e-07,0.9990462632632738,0.0009532314996095742,4.8726264638570165e-08
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0,PULLBACK,0.9694670381838729,3.4191490617930787e-08,0.9694670381838729,0.03053287660498792,5.1019648530278726e-08
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0,CHOPZONE,0.5430005442867267,8.665616474405204e-09,0.4569892443301923,0.5430005442867267,1.0202717464459945e-05
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0,CHOPZONE,0.9256473544025916,1.2867533885228851e-09,0.07431092909287487,0.9256473544025916,4.171521778018899e-05
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0,CHOPZONE,0.993451817572734,1.4425925000971037e-10,0.00648109419043318,0.993451817572734,6.708809257347248e-05
228,S17_2,2,descending,diverging,0.1624,7.33524,high,london,3061.73,3065.0,3057.98,LOSS,-0.5,1,0,CHOPZONE,0.9987375300266034,3.8913941645132957e-11,0.0011180747500373538,0.9987375300266034,0.00014439518444527195
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,3,0,CHOPZONE,0.9927928153294728,1.869071776607648e-11,0.0002040824103959227,0.9927928153294728,0.007003102241440528
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0,CHOPZONE,0.9943217098207222,5.7231098084301e-11,0.0002586352636686741,0.9943217098207222,0.005419654858378042
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0,CHOPZONE,0.99656410960332,1.5601352113516723e-10,0.0002701478752958391,0.99656410960332,0.0031657423653707103
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0,CHOPZONE,0.9966194891415333,1.5536347478008175e-10,0.0002679162521899788,0.9966194891415333,0.0031125944509132818
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0,CHOPZONE,0.9966224948480032,1.5530843996415207e-10,0.00026778204298173215,0.9966224948480032,0.003109722953706562
235,S18_2,2,descending,converging,0.3046,6.81201,high,other,3078.23,3079.08,3076.54,LOSS,-0.5,9,0,CHOPZONE,0.996691534535602,1.5386412688743962e-10,0.00026509856818475507,0.996691534535602,0.003043366742349158
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,3,0,CHOPZONE,0.9995481522913521,2.8054234784532895e-09,0.00016987975870989778,0.9995481522913521,0.00028196514451450823
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,3,0,CHOPZONE,0.9995500571277001,2.3970313864084154e-09,0.00016126099757680625,0.9995500571277001,0.0002886794776916787
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,3,0,CHOPZONE,0.9995155210736113,1.2759648464245791e-09,0.00013835597818072888,0.9995155210736113,0.0003461216722431747
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,2,0,CHOPZONE,0.9994716039133986,6.906135486602324e-10,0.00012122263517186633,0.9994716039133986,0.0004071727608159695
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,2,0,CHOPZONE,0.9994010335053239,3.7811176392841337e-10,0.00011435878662573515,0.9994010335053239,0.00048460732993862635
247,S19_2,2,descending,diverging,0.0282,6.10496,low,other,3058.3,3058.55,3057.4,LOSS,-0.5,2,0,CHOPZONE,0.9949989486466265,3.070218114773634e-09,0.0023730833119659745,0.9949989486466265,0.0026279649711894804
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0,PULLBACK,0.9984149689506298,2.915244527359822e-05,0.9984149689506298,0.0015557680401082938,1.105639883655768e-07
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0,PULLBACK,0.9997527269067441,0.00021517509863177767,0.9997527269067441,3.209665927174792e-05,1.3353524134125712e-09
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0,BREAKOUT,0.9699519394871509,0.9699519394871509,0.03004806023385713,1.3905900960405283e-10,1.3993290339115536e-10
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0,BREAKOUT,0.9975746416000625,0.9975746416000625,0.0024253583344401456,3.267078145123221e-11,3.282663674624044e-11
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0,BREAKOUT,0.9985979244219751,0.9985979244219751,0.0014020754930049973,4.190090845871122e-11,4.311893603174804e-11
253,S20_2,2,ascending,diverging,0.4521,7.31518,high,london,3090.78,3092.48,3085.6,LOSS,-0.5,8,0,BREAKOUT,0.991285513102674,0.991285513102674,0.008714485989530622,3.405398102034805e-10,5.672555700876536e-10
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0,PULLBACK,0.9929112617622816,0.007088736537362842,0.9929112617622816,1.2515700246629448e-09,4.4878542606851764e-10
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0,PULLBACK,0.9994097484161774,0.0005902488003869281,0.9994097484161774,2.6028633142720954e-09,1.8057235568931522e-10
268,S21_2,2,descending,diverging,0.1841,8.27025,high,other,3051.07,3053.11,3048.47,LOSS,-0.5,0,0,PULLBACK,0.9995985185374537,0.0004014676933529302,0.9995985185374537,1.368370155426885e-08,8.549178516710474e-11
