sequence_id,n_legs,trend,shape,efficiency_ratio,start_idx,end_idx
S23_5,5,ascending,converging,1.0499,268,335
S24_5,5,ascending,diverging,0.3905,284,348
S25_5,5,ascending,converging,0.1846,292,353
S26_5,5,descending,diverging,1.2318,323,359
S27_5,5,ascending,diverging,0.9785,333,378
S28_5,5,ascending,converging,0.0053,335,384
S29_5,5,ascending,diverging,0.7692,348,399
S30_5,5,ascending,diverging,0.3566,353,412
S31_5,5,ascending,diverging,0.3342,359,428
S32_5,5,ascending,converging,0.0841,378,431
S33_5,5,ascending,converging,0.6277,384,436
S34_5,5,descending,diverging,0.1635,399,459
S35_5,5,ascending,converging,0.0738,412,467
S36_5,5,descending,diverging,0.7609,428,472
S37_5,5,ascending,diverging,0.0175,431,480
S38_5,5,descending,converging,0.2002,436,487
S0_6,6,descending,converging,0.1345,7,73
S1_6,6,descending,diverging,0.0638,30,79
S2_6,6,descending,converging,0.0899,32,82
S3_6,6,descending,diverging,0.3474,38,104
S4_6,6,ascending,diverging,0.3552,59,125
S5_6,6,ascending,converging,0.0987,63,147
S6_6,6,ascending,diverging,0.2273,73,167
S7_6,6,ascending,diverging,0.4628,79,172
S8_6,6,ascending,diverging,0.3541,82,180
S9_6,6,ascending,converging,0.2751,104,199
S10_6,6,ascending,converging,0.249,125,203
S11_6,6,ascending,converging,0.4734,147,219
S12_6,6,ascending,diverging,0.8025,167,220
S13_6,6,ascending,converging,0.3486,172,228
S14_6,6,ascending,converging,0.3394,180,235
S15_6,6,ascending,converging,0.5606,199,247
S16_6,6,ascending,converging,0.5275,203,253
S17_6,6,descending,diverging,0.1615,219,268
S18_6,6,descending,converging,0.1119,220,284
S19_6,6,ascending,converging,0.0134,228,292
S20_6,6,ascending,diverging,0.5024,235,323
S21_6,6,ascending,converging,0.4865,247,333
S22_6,6,ascending,converging,0.3305,253,335
S23_6,6,ascending,diverging,0.4954,268,348
S24_6,6,ascending,diverging,0.5886,284,353
S25_6,6,ascending,converging,0.1297,292,359
S26_6,6,ascending,diverging,1.1853,323,378
S27_6,6,ascending,diverging,0.2031,333,384
S28_6,6,ascending,converging,0.1665,335,399
S29_6,6,ascending,diverging,0.4169,348,412
S30_6,6,ascending,diverging,1.037,353,428
S31_6,6,ascending,converging,0.2143,359,431
S32_6,6,ascending,converging,0.2316,378,436
S33_6,6,ascending,diverging,0.0731,384,459
S34_6,6,descending,converging,0.0007,399,467
S35_6,6,descending,converging,0.0181,412,472
S36_6,6,descending,diverging,0.2219,428,480
S37_6,6,descending,diverging,0.301,431,487
S0_7,7,descending,converging,0.1906,7,79
S1_7,7,ascending,converging,0.1406,30,82
S2_7,7,descending,diverging,0.3322,32,104
S3_7,7,ascending,diverging,1.2165,38,125
S4_7,7,descending,diverging,0.001,59,147
S5_7,7,ascending,converging,0.2811,63,167
S6_7,7,ascending,converging,0.0287,73,172
S7_7,7,ascending,diverging,0.9495,79,180
S8_7,7,ascending,converging,0.1596,82,199
S9_7,7,ascending,converging,0.3391,104,203
S10_7,7,ascending,diverging,0.412,125,219
S11_7,7,ascending,converging,0.5362,147,220
S12_7,7,ascending,diverging,0.4122,167,228
S13_7,7,ascending,converging,0.4152,172,235
S14_7,7,ascending,converging,0.142,180,247
S15_7,7,ascending,diverging,0.8,199,253
S16_7,7,ascending,diverging,0.1203,203,268
S17_7,7,ascending,diverging,0.1449,219,284
S18_7,7,descending,converging,0.2581,220,292
S19_7,7,ascending,diverging,0.7125,228,323
S20_7,7,ascending,converging,0.417,235,333
S21_7,7,ascending,converging,0.5314,247,335
S22_7,7,ascending,diverging,0.0699,253,348
S23_7,7,ascending,converging,0.6021,268,353
S24_7,7,ascending,converging,0.3726,284,359
S25_7,7,ascending,converging,0.232,292,378
S26_7,7,ascending,diverging,0.1129,323,384
S27_7,7,ascending,diverging,0.6434,333,399
S28_7,7,ascending,converging,0.0345,335,412
S29_7,7,ascending,diverging,0.8297,348,428
S30_7,7,ascending,diverging,0.6311,353,431
S31_7,7,ascending,converging,0.2613,359,436
S32_7,7,descending,diverging,0.11,378,459
S33_7,7,ascending,converging,0.1786,384,467
S34_7,7,descending,diverging,0.2059,399,472
S35_7,7,ascending,converging,0.0918,412,480
S36_7,7,descending,diverging,0.435,428,487
