bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win
399,S32_2,2,descending,converging,0.0731,7.52553,high,london,3179.27,3179.47,3177.76,LOSS,-0.5,1,0
399,S32_2,2,descending,converging,0.0731,7.52553,high,london,3179.27,3179.47,3177.76,LOSS,-0.5,1,0
399,S32_2,2,descending,converging,0.0731,7.52553,high,london,3179.27,3179.47,3177.76,LOSS,-0.5,1,0
399,S32_2,2,descending,converging,0.0731,7.52553,high,london,3179.27,3179.47,3177.76,LOSS,-0.5,1,0
399,S32_2,2,descending,converging,0.0731,7.52553,high,london,3179.27,3179.47,3177.76,LOSS,-0.5,1,0
412,S33_2,2,ascending,converging,0.1823,6.84601,high,other,3154.94,3157.11,3151.78,LOSS,-0.5,46,0
412,S33_2,2,ascending,converging,0.1823,6.84601,high,other,3154.94,3157.11,3151.78,LOSS,-0.5,3,0
412,S33_2,2,ascending,converging,0.1823,6.84601,high,other,3154.94,3157.11,3151.78,LOSS,-0.5,46,0
412,S33_2,2,ascending,converging,0.1823,6.84601,high,other,3154.94,3157.11,3151.78,LOSS,-0.5,46,0
412,S33_2,2,ascending,converging,0.1823,6.84601,high,other,3154.94,3157.11,3151.78,LOSS,-0.5,46,0
412,S33_2,2,ascending,converging,0.1823,6.84601,high,other,3154.94,3157.11,3151.78,LOSS,-0.5,46,0
428,S34_2,2,ascending,diverging,0.8362,7.06948,high,other,3230.97,3231.1,3230.64,LOSS,-0.5,1,0
428,S34_2,2,ascending,diverging,0.8362,7.06948,high,other,3230.97,3231.1,3230.64,LOSS,-0.5,1,0
428,S34_2,2,ascending,diverging,0.8362,7.06948,high,other,3230.97,3231.1,3230.64,LOSS,-0.5,1,0
428,S34_2,2,ascending,diverging,0.8362,7.06948,high,other,3230.97,3231.1,3230.64,LOSS,-0.5,1,0
428,S34_2,2,ascending,diverging,0.8362,7.06948,high,other,3230.97,3231.1,3230.64,LOSS,-0.5,1,0
428,S34_2,2,ascending,diverging,0.8362,7.06948,high,other,3230.97,3231.1,3230.64,LOSS,-0.5,1,0
431,S35_2,2,ascending,converging,0.2621,8.1341,high,other,3199.9,3200.19,3197.08,LOSS,-0.5,11,0
431,S35_2,2,ascending,converging,0.2621,8.1341,high,other,3199.9,3200.19,3197.08,LOSS,-0.5,11,0
431,S35_2,2,ascending,converging,0.2621,8.1341,high,other,3199.9,3200.19,3197.08,LOSS,-0.5,11,0
431,S35_2,2,ascending,converging,0.2621,8.1341,high,other,3199.9,3200.19,3197.08,LOSS,-0.5,11,0
431,S35_2,2,ascending,converging,0.2621,8.1341,high,other,3199.9,3200.19,3197.08,LOSS,-0.5,11,0
431,S35_2,2,ascending,converging,0.2621,8.1341,high,other,3199.9,3200.19,3197.08,LOSS,-0.5,11,0
436,S36_2,2,descending,converging,0.1754,7.92363,high,other,3224.98,3225.41,3223.08,WIN,3.0,7,1
436,S36_2,2,descending,converging,0.1754,7.92363,high,other,3224.98,3225.41,3223.08,LOSS,-0.5,1,0
436,S36_2,2,descending,converging,0.1754,7.92363,high,other,3224.98,3225.41,3223.08,LOSS,-0.5,1,0
436,S36_2,2,descending,converging,0.1754,7.92363,high,other,3224.98,3225.41,3223.08,LOSS,-0.5,1,0
436,S36_2,2,descending,converging,0.1754,7.92363,high,other,3224.98,3225.41,3223.08,LOSS,-0.5,1,0
436,S36_2,2,descending,converging,0.1754,7.92363,high,other,3224.98,3225.41,3223.08,LOSS,-0.5,1,0
459,S37_2,2,descending,diverging,0.7944,6.53929,high,other,3158.71,3163.89,3157.37,TIMEOUT,0.0,50,0
459,S37_2,2,descending,diverging,0.7944,6.53929,high,other,3158.71,3163.89,3157.37,TIMEOUT,0.0,50,0
459,S37_2,2,descending,diverging,0.7944,6.53929,high,other,3158.71,3163.89,3157.37,TIMEOUT,0.0,50,0
459,S37_2,2,descending,diverging,0.7944,6.53929,high,other,3158.71,3163.89,3157.37,TIMEOUT,0.0,50,0
459,S37_2,2,descending,diverging,0.7944,6.53929,high,other,3158.71,3163.89,3157.37,TIMEOUT,0.0,50,0
459,S37_2,2,descending,diverging,0.7944,6.53929,high,other,3158.71,3163.89,3157.37,TIMEOUT,0.0,50,0
467,S38_2,2,descending,converging,0.3089,5.61379,low,london,3177.42,3179.37,3173.92,TIMEOUT,0.0,50,0
467,S38_2,2,descending,converging,0.3089,5.61379,low,london,3177.42,3179.37,3173.92,TIMEOUT,0.0,50,0
467,S38_2,2,descending,converging,0.3089,5.61379,low,london,3177.42,3179.37,3173.92,TIMEOUT,0.0,50,0
467,S38_2,2,descending,converging,0.3089,5.61379,low,london,3177.42,3179.37,3173.92,TIMEOUT,0.0,50,0
467,S38_2,2,descending,converging,0.3089,5.61379,low,london,3177.42,3179.37,3173.92,TIMEOUT,0.0,50,0
467,S38_2,2,descending,converging,0.3089,5.61379,low,london,3177.42,3179.37,3173.92,TIMEOUT,0.0,50,0
472,S39_2,2,descending,diverging,0.3714,6.68067,high,other,3146.13,3147.02,3143.95,TIMEOUT,0.0,50,0
472,S39_2,2,descending,diverging,0.3714,6.68067,high,other,3146.13,3147.02,3143.95,TIMEOUT,0.0,50,0
472,S39_2,2,descending,diverging,0.3714,6.68067,high,other,3146.13,3147.02,3143.95,TIMEOUT,0.0,50,0
472,S39_2,2,descending,diverging,0.3714,6.68067,high,other,3146.13,3147.02,3143.95,TIMEOUT,0.0,50,0
472,S39_2,2,descending,diverging,0.3714,6.68067,high,other,3146.13,3147.02,3143.95,TIMEOUT,0.0,50,0
472,S39_2,2,descending,diverging,0.3714,6.68067,high,other,3146.13,3147.02,3143.95,TIMEOUT,0.0,50,0
480,S40_2,2,ascending,diverging,0.2954,7.62166,high,other,3197.65,3198.98,3196.52,TIMEOUT,0.0,50,0
480,S40_2,2,ascending,diverging,0.2954,7.62166,high,other,3197.65,3198.98,3196.52,TIMEOUT,0.0,50,0
480,S40_2,2,ascending,diverging,0.2954,7.62166,high,other,3197.65,3198.98,3196.52,TIMEOUT,0.0,50,0
480,S40_2,2,ascending,diverging,0.2954,7.62166,high,other,3197.65,3198.98,3196.52,TIMEOUT,0.0,50,0
480,S40_2,2,ascending,diverging,0.2954,7.62166,high,other,3197.65,3198.98,3196.52,TIMEOUT,0.0,50,0
480,S40_2,2,ascending,diverging,0.2954,7.62166,high,other,3197.65,3198.98,3196.52,TIMEOUT,0.0,50,0
